,date,info,totalPayment,category,source
68,2021-02-25,House rental 2021.02,121000.0,Housing,Bank
69,2021-02-26,Kindergarten Puppy,65000.0,Kids,Bank
73,2021-02-28,Meo 2021.02,10000.0,Allowance,Bank
74,2021-02-28,Bonus Meo OT,2000.0,Allowance,Bank
78,2021-02-15,Insurance (Vit),2000.0,Insurances,Bank
80,2021-02-28,Pocket Money,20000.0,Allowance,Bank
83,2021-02-04,Lopia,2276.0,Groceries,Cash
84,2021-02-16,Gyomu Mark Nakamachidai,5753.0,Groceries,Cash
85,2021-02-16,Lopia,2379.0,Groceries,Cash
86,2021-02-23,Lopia,2409.0,Groceries,Cash
88,2021-02-26,Seria,660.0,Household Supplies,Cash
89,2021-02-26,Lopia,3268.0,Groceries,Cash
90,2021-02-27,Kodomo No Kuni,1200.0,Entertainment,Cash
91,2021-02-27,Lunch at Kodomo Kuni,2210.0,Eating Out,Cash
92,2021-02-28,Japanese Lesson,24000.0,Education,Cash
93,2021-02-11,MacDonald,800.0,Eating Out,Paypay
94,2021-02-17,To Sieu (probably food/eating out),1270.0,Eating Out,Paypay
